"Title","Description","License","Tags","Groups","Visibility","Format","Language","Publisher","Type","[DateAdded, Date Modified]","Theme","Data Status","Update Frequency","Contact email","Expose User Contact Information","Temporal coverage from","Temporal coverage to","Geospatial coverage","Socrata ID","Jurisdiction","Category","Geospatial Topic","Data Models","Field of Research"
"Out-of-pocket expenses (after subsidies) for families with children in full-time centre-based long day care, as a proportion of gross annual disposable income, NSW and Australia, March quarter 2013","Source: SCRGSP 2014, Report on Government Services 2014, vol. B Childcare, education and training, Productivity Commission, Canberra, Table 3A.57","CC_30_BY_AUS","['expenses', 'out-of-pocket', 'long day care']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409844155, 1409844155]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","adtp-4f3f","New South Wales","Early childhood",,"n/a","1301 Education Systems"
"Gender Analysis Of School Teachers, 2015","Refer to attachment for more information.The Department adheres to the principles of Equal Employment Opportunity in all aspects of teacher recruitment and promotion. Male and female teachers are employed in NSW public schools across all stages of learning.","CC_30_BY_AUS","['gender', 'male', 'female', 'equality']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453427495, 1453427495]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","6tkh-kd26","New South Wales","Teachers",,"n/a","1301 Education Systems"
"HSC Completions NSW Public Schools Students, 2008-2013","For more information refer to attachment. The number of students at government schools awarded the HSC continues to rise.","CC_30_BY_AUS","['hsc', 'aboriginal', 'indigenous', 'high achievers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453429969, 1453429969]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","f68r-jzcp","New South Wales","Students",,"n/a","1301 Education Systems"
"NSW Government School HSC Completions, Year 12, 2004-2014","NSW government school HSC completions, Year 12 students only, 2004-2014","CC_30_BY_AUS","['hsc', 'completions', 'students', '2004-2014', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443670074, 1448321878]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.04","311.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","yvh7-2y7f","New South Wales","Students",,"n/a","1301 Education Systems"
"HSC High Achievers In NSW Public Schools, 2008-2013","Refer to attachment for more information. The number of students from NSW public schools who were placed on the Distinguished Achievers List (achieving a highest band result of over 90 for a course) increased from 7,471 in 2012 to 7,519 in 2013.","CC_30_BY_AUS","['hsc', 'high achievers', 'indigenous', 'aboriginal']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453430197, 1453430197]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ntuz-7qdq","New South Wales","Students",,"n/a","1301 Education Systems"
"Year 12 Estimated Completion Rates, 2009-2013","For more information refer to attachment. Year 12 completion rates are one measure of students successful completion of their schooling. These completion rates relate to the number of students who meet the Higher School Certificate requirements as a proportion of the estimated population of young people that could attend Year 12 in a calendar year.","CC_30_BY_AUS","['hsc', 'year 12', 'completions rates', 'attendance', 'students']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454979015, 1454979015]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.09","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","imuz-npxm","New South Wales","Higher Education",,"n/a","1301 Education Systems"
"Language diversity in NSW government schools in 2013: CESE Bulletin 5","This bulletin summarises the diversity of students with a language background other than English (LBOTE) who are enrolled in NSW government schools in 2013.","CC_30_BY_AUS","['language', 'lbote', '2013', 'diversity', 'bulletin', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1397449332, 1448321656]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","dd9p-ttj5","New South Wales","Statistics Bulletins",,"n/a","1306 Education Systems"
"Language Participation Year 7-9 by Gender and School Year","As of August 2012_x000D_
_x000D_
The table includes only students learning a language on average for more than 1 hour per week for 35 or more weeks a year._x000D_
_x000D_
There were an additional 23,449 students who were learning a language for a shorter duration.","CC_30_BY_AUS","['language', 'rear 7', 'year 8', 'year 9', 'gender', 'year', '2012']","Public","Yes","published","English","NSW Department of Education","Dataset","[1462842451, 1438584754]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","c6vd-e5mq","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"Language Participation Year 7-9 By Gender And School Year, 2014 (NSW Government Schools)","As at August 2014_x000D_
_x000D_
The table includes only students learning a language on average for more than 1 hour per week for 35 or more weeks a year._x000D_
_x000D_
There were an additional 23,449 students who were learning a language for a shorter duration.","CC_30_BY_AUS","['language', 'year 7', 'year 8', 'year 9', 'gender', 'year', '2014', 'language participation']","Public","Yes","published","English","NSW Department of Education","Dataset","[1462842451, 1462842451]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","p628-ua5u","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"NSW Government Schools By MCEECDYA Remoteness And SA4 Groupings, 2014","MCEECDYA Remoteness Indicator divides schools into four categories- metropolitan, provincial, remote and very remote. This table shows government schools by remoteness and SA4 groupings.","CC_30_BY_AUS","['mceecdya', 'remoteness', 'sa4', 'metropolitan', 'provincial', 'remote', 'very remote']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443658550, 1443658550]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","bkk2-n68d","New South Wales","Schools",,"n/a","1301 Education Systems"
"School Teacher Medical Retirements By Year, 2000-2015","In a workforce of around 49,000 permanent school teachers, the NSW Department of Education has a very low rate of medical retirements. Medical retirements arise from a range for serious medical conditions.","CC_30_BY_AUS","['medical conditions', 'retirements', 'permanent staff', 'teachers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454974448, 1454974448]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.00","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","9fui-ybgk","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 3, NSW, 2008-13","Source: Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 3']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409842189, 1429128478]","EDUCATION","Inactive","Annual","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","i8tz-u84r","New South Wales","NAPLAN Summaries",,"n/a","1301 Education Systems"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 5, NSW, 2008-13","Source: Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 5']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409842462, 1429128478]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","9x65-2bt5","New South Wales","NAPLAN Summaries",,"n/a","1301 Education Systems"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 7, NSW, 2008-13","Source: Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 7']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409842659, 1429128478]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","q4ye-7xv8","New South Wales","NAPLAN Summaries",,"n/a","1301 Education Systems"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 9, NSW, 2008-13","Source; Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 9']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409842850, 1429128478]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ctz6-6ki4","New South Wales","NAPLAN Summaries",,"n/a","1301 Education Systems"
"Opportunity Class Students With Language Background  Other Than English (LBOTE), 2008-2013","Refer to attachment for further information. Opportunity classes provide intellectual stimulation and an educationally enriched environment for academically gifted and talented children in Years 5 and 6. Students are identified as having a language background other than English (LBOTE) if they indicate that English is not the main language spoken in the home.","CC_30_BY_AUS","['opportunity class', 'oc', 'gifted and talented', 'lbote', 'language background']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453439953, 1453439953]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","9eg5-nxer","New South Wales","Students",,"n/a","1301 Education Systems"
"Average weekly hours of attendance of children in the year before full-time school in NSW Government-operated and NSW Government-funded preschools, 2011-13","These results do not include long day care enrolment data because the Commonwealth Child Care Management System (CCMS) data does not provide hourly enrolment or attendance information.									

Due to improved data collection, major modifications to calculation methods were agreed from 2011 resulting in breaks in the series for this performance indicator. These changes included the exclusion of (previously included) 3 year old children enrolled at government and community preschools and better estimates of preschool participation in long day care.									
									
Source: NSW Department of Education, 2012 Annual report on achieving universal access to early childhood education in NSW (forthcoming) and internal data","CC_30_BY_AUS","['preschool', 'attendance', 'hours']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409843381, 1409843381]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.11","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","33x8-e3wq","New South Wales","Early childhood",,"n/a","1301 Education Systems"
"Comparison of average daily fees in Government-funded preschools for all children and children in equity groups (2013 dollars), 2008-13","2013 - Fee relief initiative_x000D_
Sources: _x000D_
NSW Department of Education, 2012 Annual report on achieving universal access to early childhood education in NSW (forthcoming) and internal data _x000D_
Australian Bureau of Statistics, 6401.0 - Consumer Price Index, Australia","CC_30_BY_AUS","['preschool', 'fees', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409843661, 1448321693]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.08","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ntur-43m5","New South Wales","Early childhood",,"n/a","1301 Education Systems"
"Proportion of children accessing a preschool program in their year prior to school, 2011-13","Due to improved data collection, major modifications to calculation methods were agreed from 2011 resulting in breaks in the series for this performance indicator. These changes included the exclusion of (previously included) 3 year old children enrolled at government and community preschools and better estimates of preschool participation in long day care.											
										
Source: NSW Department of Education, NSW 2013 Supplementary Data Report under the National Partnership Agreement on Universal Access to Early Childhood Education (forthcoming).","CC_30_BY_AUS","['preschool']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409843089, 1409843089]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.11","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","nfe4-bedv","New South Wales","Early childhood",,"n/a","1301 Education Systems"
"Primary Students in NSW Government Schools Studying a Language Other than English by Year of Schooling and Language, 2014","As at May, 2014_x000D_
_x000D_
Students may study more than one language. Students in Distance Education and Opportunity Classes (OC) are included with their appropriate grade levels.","CC_30_BY_AUS","['primary', 'students', 'languages', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443668743, 1443668743]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","r2dx-8692","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"NSW Government Schools on Priority Schools Funding Program by region and school type","As at midyear 2012_x000D_
_x000D_
NSW Goverment Schools on Priority Schools Funding Program by region and school type","CC_30_BY_AUS","['priority schools funding program', 'region']","Public","Yes","published","English","NSW Department of Education","Dataset","[1396576239, 1400762851]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","3kds-gvzu","New South Wales","Schools",,"n/a","1301 Education Systems"
"CESE Bulletin 8- Schools: Language Diversity in NSW, 2014","This bulletin summarises the diversity of students with a language background other than English (LBOTE) who are enrolled in NSW government schools in 2014.","CC_30_BY_AUS","['public schools', 'primary', 'secondary', 'lbote', 'language diversity', '2014', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1440375281, 1448321897]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","qyim-patw","New South Wales","Statistics Bulletins",,"n/a","1312 Education Systems"
"Resource Allocation Model and Family Occupation Educational Index, 2016","The Resource Allocation Model (RAM) has been developed to ensure a fair, efficient and transparent allocation of the education budget for every school.
The model, introduced in phases, recognises that students and school communities are not all the same  they have different needs and require different levels of support.","CC_30_BY_AUS","['ram', 'resource allocation model', 'foei', 'family occupation education index', 'funding', 'budget']","Public","Yes","published","English","NSW Department of Education","Dataset","[1449727483, 1449727483]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.16","31.12.16","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","36g6-5fum","New South Wales","Schools",,"n/a","1301 Education Systems"
"Resignation Rates For Permanent NSW Government Teachers, First Year Of Teaching, 2006 - 2014","Percentage of teachers resigning from teaching in their first year is low, with a small increase from 1.5 per cent to 1.9 per cent from 2013 to 2014. Data from the Workforce Profile Update 2014.","CC_30_BY_AUS","['resignation', 'permanent', 'teachers', 'school staff', 'graduate teachers', 'first year teachers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1466481502, 1466481502]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.06","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","9cmc-dyat","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Resignation Rates For Permanent NSW Government School Teachers, Primary And Secondary, 2006 - 2014","Resignation rates for NSW government school teachers have been in decline since 2006. Data from the Workforce Profile Update 2014.","CC_30_BY_AUS","['resignation', 'permanent', 'teachers', 'school staff', 'primary', 'secondary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1466480716, 1466480716]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.06","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","vnn2-j83h","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Teacher Separations, 2006-2014","Refer to attachment for further information. Separations are resignations, retirements (including medical retirements), terminations and deaths. The separation rates of public school teachers in NSW are low. They have varied between 3.6 per cent and 5 per cent since 2006.","CC_30_BY_AUS","['resignations', 'retirements', 'deaths', 'permanent staff', 'school staff', 'teachers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454978761, 1454978761]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.06","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","q27r-67dg","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Apparent Retention in NSW Government Schools, 2001-2012","All enrolments are reported in full-time equivalent units (FTEs), and include full-time and part-time students. Students enrolled in distance education classes are included with their appropriate grade levels._x000D_
_x000D_
With the New School Leaving Age legislation coming into effect in January 2010, the Year 12 cohort in 2012 is the first group of students who were required to complete Year 10. This means that the Year 10 enrolment figure was higher than in previous years, resulting in a relative decline in Year 10 to Year 12 apparent retention in 2012, despite the Year 7 to Year 12 apparent retention rate increasing slightly.","CC_30_BY_AUS","['retention', 'nsw', 'government schools', '2001-2012']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443593914, 1438584470]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.01","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","2saw-snjv","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Apparent Retention in NSW Government Schools, 2001-2014","All enrolments are reported in full-time equivalent units (FTEs), and include full-time and part-time students. Students enrolled in distance education classes are included with their appropriate grade levels.","CC_30_BY_AUS","['retention', 'nsw', 'government schools', '2001-2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443593914, 1443593978]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.01","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","nvn3-uimy","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"NSW Government Schools By FOEI Bands And SA4 Groupings, 2014","All NSW government schools (excluding exceptions as listed) by Family Occupation and Education Index (FOEI), mid-year 2014","CC_30_BY_AUS","['sa4', 'foei', 'family occupation and education index', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443657502, 1443657502]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","5tke-atkd","New South Wales","Schools",,"n/a","1301 Education Systems"
"Sale And Acquisition Of Land, 2000-2014","For more information refer to attachment. The Department has care, control or ownership of about 377 hectares of vacant land across NSW. The Department regularly buys or sells property to meet the demand for public education and maintains its built assets respectively.","CC_30_BY_AUS","['sale', 'acquisition', 'government owned', 'property', 'physical assets']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454973213, 1454973213]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.00","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","5sgz-wrur","New South Wales","Assets",,"n/a","1301 Education Systems"
"Funds Accumulated From Hiring Of School Facilities, 2014","Refer to attachment for more information. The NSW Department of Education encourages local communities to use school buildings, grounds, playing fields and facilities for appropriate purposes. Opening school facilities to the community is a way of sharing resources and strengthening the partnerships between schools and local communities.","CC_30_BY_AUS","['school assets', 'schools funds', 'hire', 'school facilities']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453426615, 1453426615]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","nksd-ctpb","New South Wales","Assets",,"n/a","1301 Education Systems"
"School Certificate Completions in NSW Public Schools, 2005-2011","Refer to attachment for further information. The School Certificate is awarded by the Board of Studies NSW to eligible students at the end of Year 10. The School Certificate Record of Achievement shows all Stage 5 (Years 9 and 10) courses and School Certificate courses completed. It also contains a statement as to whether the student is eligible for the School Certificate.","CC_30_BY_AUS","['school certificate', 'year ten', 'school leavers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454973633, 1454973633]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.05","31.12.11","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","qz5m-8ujg","New South Wales","Higher Education",,"n/a","1301 Education Systems"
"NSW Public School Voluntary School Contributions, 2014","Refer to attachment for more information. Principals can request voluntary general contributions to enhance their school education programs. It is a decision for parents to make payments.","CC_30_BY_AUS","['school contributions', 'voluntary payments']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453433309, 1453433309]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","vfaz-5nn3","New South Wales","Assets",,"n/a","1301 Education Systems"
"Enrolments In Support Classes And Schools For Specific Purposes ( SSPs) By Category, 2014","Enrolments In Support Classes And Schools For Specific Purposes ( SSPs) By Category, 2014","CC_30_BY_AUS","['school for specific purpose', 'enrolments', '2014', 'disability']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443667116, 1443667116]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","gwhi-j323","New South Wales","Students",,"n/a","1301 Education Systems"
"NSW government schools by type and ABS statistical area, mid-year 2013"," Lucas Heights Community School, Hunter School of Performing Arts, Southern Cross School, Wadalba Community School, Alexandria Park Community School and Evans River Community School are included with central/community schools","CC_30_BY_AUS","['school type', 'abs statistical area']","Public","Yes","published","English","NSW Department of Education","Dataset","[1413338471, 1413338471]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","vjwq-xmta","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Government Schools By Type And SA4 Groupings, 2014","As at midyear 2014 - using SA4 groupings as described in notes column.","CC_30_BY_AUS","['school type', 'sa4', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443655990, 1443655990]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","jv5x-jutm","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Government Schools - Summarised by School Type - 2001-2012","NSW Government Schools - Summarised by School Type - 2001-2012","CC_30_BY_AUS","['school type']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443599451, 1438584553]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.01","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","45rt-62sr","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Public School Funds Available as at December, 2013 & 2014","For more information refer to attachment. Most NSW public schools operate and maintain their own bank accounts. Principals have the flexibility to manage day to day school operations. Schools are accountable to the Department of Education and to the school community for how funds are spent to deliver educational programs.","CC_30_BY_AUS","['schools funds', 'bank accounts', 'financials', 'funding']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453432876, 1453432876]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.13","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","fyep-2nmw","New South Wales","Assets",,"n/a","1301 Education Systems"
